city,alt_name,state,median_yearly_income,median_monthly_income,rent,latitude,longitude
abilene,"Abilene, TX",TX,52576,4381,1314,32.4464534,-99.7333478
akroncanton,Akron/Canton,OH,48849,4070,1221,41.050646,-81.4377149
albany,"Albany, NY",NY,58687,4890,1467,42.6511674,-73.754968
albanyga,"Albany, GA",GA,49342,4111,1233,31.5782062,-84.1556809
albuquerque,Albuquerque,NM,44968,3747,1124,35.0841034,-106.6509851
allentown,Lehigh Valley,PA,53115,4426,1327,40.6022059,-75.4712794
altoona,Altoona-Johnstown,PA,53115,4426,1327,40.518681,-78.394736
amarillo,"Amarillo, TX",TX,52576,4381,1314,35.2072185,-101.8338246
ames,"Ames, IA",IA,52716,4393,1317,42.0346917,-93.6201507
anchorage,Anchorage/Mat-su,AK,71829,5985,1795,61.218056,-149.9002806
annapolis,"Annapolis, MD",MD,74149,6179,1853,38.9786401,-76.492786
annarbor,"Ann Arbor, MI",MI,49087,4090,1227,42.2681569,-83.7312291
appleton,Appleton-Oshkosh-FDL,WI,52738,4394,1318,44.2611337,-88.4067604
asheville,"Asheville, NC",NC,46693,3891,1167,35.6009498,-82.5540161
ashtabula,"Ashtabula, OH",OH,48849,4070,1221,41.7167229,-80.74947
athensga,"Athens, GA",GA,49342,4111,1233,33.9595974,-83.376678
athensohio,"Athens, OH",OH,48849,4070,1221,39.3292396,-82.1012555
atlanta,"Atlanta, GA",GA,49342,4111,1233,33.7490987,-84.3901849
auburn,"Auburn, AL",AL,43511,3625,1087,32.5978265,-85.56335486
augusta,"Augusta, GA",GA,49342,4111,1233,33.3860406,-82.0909175
austin,"Austin, TX",TX,52576,4381,1314,30.2711286,-97.7436995
bakersfield,"Bakersfield, CA",CA,61489,5124,1537,35.3738712,-119.0194639
baltimore,"Baltimore, MD",MD,74149,6179,1853,39.2908608,-76.6108073
batonrouge,Baton Rouge,LA,44991,3749,1124,30.4507462,-91.154551
battlecreek,"Battle Creek, MI",MI,49087,4090,1227,30.148272,-81.5906439
beaumont,Beaumont/Port Arthur,TX,52576,4381,1314,30.0860459,-94.1018461
bellingham,"Bellingham, WA",WA,60294,5024,1507,48.754402,-122.4788602
bemidji,"Bemidji, MN",MN,60828,5069,1520,47.4786541,-94.890802
bend,"Bend, OR",OR,50521,4210,1263,44.0581728,-121.3153096
bgky,"Bowling Green, KY",KY,43342,3611,1083,40.70496825,-74.01365751
bham,"Birmingham, AL",AL,43511,3625,1087,33.5312374,-86.850137
bigbend,Southwest TX,TX,52576,4381,1314,31.8160381,-99.5120986
billings,"Billings, MT",MT,46766,3897,1169,45.7874957,-108.49607
binghamton,"Binghamton, NY",NY,58687,4890,1467,42.096968,-75.914341
bismarck,"Bismarck, ND",ND,55579,4631,1389,46.8083268,-100.7837392
blacksburg,New River Valley,VA,64792,5399,1619,37.2296566,-80.4136767
bloomington,"Bloomington, IN",IN,48737,4061,1218,39.1670396,-86.5342881
bn,Bloomington-Normal,IN,48737,4061,1218,40.4742444,-88.91331887
boise,"Boise, ID",ID,47334,3944,1183,43.615046,-116.2044429
boone,"Boone, NC",NC,46693,3891,1167,42.321246,-88.8235511
boston,Boston,MA,67846,5653,1695,42.3604823,-71.0595678
boulder,"Boulder, CO",CO,59448,4954,1486,40.0149856,-105.2705456
bozeman,"Bozeman, MT",MT,46766,3897,1169,45.6799842,-111.0446748
brainerd,"Brainerd, MN",MN,60828,5069,1520,46.3580221,-94.2008288
brownsville,"Brownsville, TX",TX,52576,4381,1314,25.9140256,-97.4890856
brunswick,"Brunswick, GA",GA,49342,4111,1233,31.15674,-81.4794174
buffalo,"Buffalo, NY",NY,58687,4890,1467,42.8864468,-78.8783689
butte,"Butte, MT",MT,46766,3897,1169,44.4723989,-73.2114941
capecod,Cape Cod/Islands,MA,67846,5653,1695,45.9838436,-112.5007277
carbondale,Southern Illinois,IL,57166,4763,1428,41.6718684,-70.3499234
catskills,Catskills,NY,58687,4890,1467,37.7274692,-89.216655
cedarrapids,"Cedar Rapids, IA",IA,52716,4393,1317,30.196726,-81.7908438
cenla,Central Louisiana,CA,61489,5124,1537,41.9758872,-91.6704053
centralmich,Central Michigan,MI,49087,4090,1227,30.5543546,-91.0367706
cfl,Heartland Florida,FL,47212,3934,1180,47.4071372,-88.2006604
chambana,Champaign Urbana,IL,57166,4763,1428,28.5974432,-81.2034741
chambersburg,Cumberland Valley,PA,53115,4426,1327,40.1146311,-88.2771096
charleston,"Charleston, SC",SC,45033,3752,1125,39.9405903,-77.6598624
charlestonwv,"Charleston, WV",WV,41576,3464,1039,32.7876012,-79.9402728
charlotte,"Charlotte, NC",NC,46693,3891,1167,38.3498221,-81.6326301
charlottesville,"Charlottesville, VA",VA,64792,5399,1619,35.2270869,-80.8431268
chattanooga,"Chattanooga, TN",TN,44621,3718,1115,38.029306,-78.4766781
chautauqua,"Chautauqua, NY",NY,58687,4890,1467,35.0456297,-85.3096801
chicago,Chicago,IL,57166,4763,1428,37.146335,-96.2656966
chico,"Chico, CA",CA,61489,5124,1537,41.8755546,-87.6244212
chillicothe,"Chillicothe, OH",OH,48849,4070,1221,39.7284945,-121.8374777
cincinnati,"Cincinnati, OH",OH,48849,4070,1221,39.3331197,-82.9824019
clarksville,"Clarksville, TN",TN,44621,3718,1115,39.1014537,-84.5124602
cleveland,"Cleveland, OH",OH,48849,4070,1221,38.2967791,-85.7602087
clovis,Clovis/Portales,NM,44968,3747,1124,41.5051613,-81.6934446
cnj,Central NJ,NJ,72062,6005,1801,34.405472,-103.2050709
collegestation,"College Station, TX",TX,52576,4381,1314,39.829349,-74.9794259
columbia,"Columbia, SC",SC,45033,3752,1125,30.6262616,-96.3347249
columbiamo,Columbia/Jeff City,MO,47764,3980,1194,34.0007493,-81.0343313
columbus,"Columbus, OH",OH,48849,4070,1221,38.951883,-92.3337366
columbusga,"Columbus, GA",GA,49342,4111,1233,39.9622601,-83.0007065
cookeville,"Cookeville, TN",TN,44621,3718,1115,32.4609764,-84.9877094
corpuschristi,"Corpus Christi, TX",TX,52576,4381,1314,36.162839,-85.5016423
corvallis,Corvallis/albany,OR,50521,4210,1263,27.8002542,-97.3955744
cosprings,Colorado Springs,CO,59448,4954,1486,44.5645659,-123.2620435
csd,Pierre/Central SD,SD,50338,4194,1258,38.8339578,-104.8253485
dallas,Dallas/Fort Worth,TX,52576,4381,1314,44.3681707,-103.7683634
danville,Danville,VA,64792,5399,1619,32.7761963,-96.7968994
dayton,Dayton/Springfield,OH,48849,4070,1221,40.125222,-87.6304614
daytona,Daytona Beach,FL,47212,3934,1180,39.7589478,-84.1916069
decatur,"Decatur, IL",IL,57166,4763,1428,29.2086838,-81.09661
delaware,Delaware,DE,60231,5019,1505,39.8628075,-88.89387182
delrio,Del Rio/Eagle Pass,TX,52576,4381,1314,38.6920451,-75.4013315
denver,"Denver, CO",CO,59448,4954,1486,29.3627296,-100.896761
desmoines,"Des Moines, IA",IA,52716,4393,1317,39.7391536,-104.9847034
detroit,Detroit Metro,MI,49087,4090,1227,41.5910641,-93.6037149
dothan,"Dothan, AL",AL,43511,3625,1087,42.3486635,-83.0567375
dubuque,Dubuque,IA,52716,4393,1317,31.158522,-85.4269662
duluth,Duluth/Superior,MN,60828,5069,1520,42.5006217,-90.6647967
eastco,Eastern CO,CO,59448,4954,1486,46.7729322,-92.1251218
easternshore,Eastern Shore,MD,74149,6179,1853,39.4944507,-104.7470419
eastidaho,East Idaho,ID,47334,3944,1183,39.6031,-76.0671
eastky,Eastern Kentucky,KY,43342,3611,1083,43.4855052,-111.9862759
eastnc,Eastern NC,NC,46693,3891,1167,37.5170432,-82.805994
eastoregon,East Oregon,OR,50521,4210,1263,34.4491091,-78.5669612
easttexas,Tyler/East TX,TX,52576,4381,1314,45.31814825,-118.0916536
eauclaire,"Eau Claire, WI",WI,52738,4394,1318,29.69523,-95.3537525
elko,"Elko, NV",NV,52205,4350,1305,44.811349,-91.4984941
elmira,Elmira-Corning,NY,58687,4890,1467,40.8324212,-115.7631233
elpaso,"El Paso, TX",TX,52576,4381,1314,42.0897965,-76.8077338
enid,Northwest OK,OK,46235,3852,1155,31.8111305,-106.5013493
erie,"Erie, PA",PA,53115,4426,1327,35.822839,-95.6785709
eugene,"Eugene, OR",OR,50521,4210,1263,42.129461,-80.085239
evansville,"Evansville, IN",IN,48737,4061,1218,44.0505054,-123.0950506
fairbanks,"Fairbanks, AK",AK,71829,5985,1795,37.9747645,-87.5558483
fargo,Fargo/Moorhead,ND,55579,4631,1389,64.8377802,-147.7163952
farmington,"Farmington, NM",NM,44968,3747,1124,46.8772292,-96.789821
fayar,"Fayetteville, AR",AR,41264,3438,1031,36.7304288,-108.2089191
fayetteville,"Fayetteville, NC",NC,46693,3891,1167,36.0694725,-94.1623709
fingerlakes,"Finger Lakes, NY",NY,58687,4890,1467,36.111508,-94.20986672
flagstaff,Flagstaff/Sedona,AZ,49928,4160,1248,39.6214952,-84.1986769
flint,"Flint, MI",MI,49087,4090,1227,35.199458,-111.6514259
florencesc,"Florence, SC",SC,45033,3752,1125,43.012486,-83.6964149
fortcollins,Fort Collins/North CO,CO,59448,4954,1486,34.1984435,-79.7671658
fortdodge,"Fort Dodge, IA",IA,52716,4393,1317,40.5508527,-105.0668085
fortmyers,Ft Myers/SW Florida,FL,47212,3934,1180,42.4974694,-94.1680158
fortsmith,"Fort Smith, AR",AR,41264,3438,1031,26.640628,-81.8723084
fortwayne,"Fort Wayne, IN",IN,48737,4061,1218,35.3872218,-94.4248983
frederick,"Frederick, MD",MD,74149,6179,1853,41.0799898,-85.1386015
